class,subject,topic,link,assignment
6,History,"Chapter 1 – What, Where, How and When?",https://cms.schooltimes.ca/lessons/c6-ssc-his-1-what-where-how-when/,
6,History,"Chapter 2 – From Hunting, Gathering to Growing Food",https://cms.schooltimes.ca/lessons/c6-ssc-his-2-from-hunting-gathering-to-growing-food/,
6,History,Chapter 3 – In the Earliest Cities,http://cms.schooltimes.ca/lessons/c6-ssc-his-3-chapter-3-in-the-earliest-cities/,
6,History,Chapter 4 – What Books and Burials Tell Us,http://cms.schooltimes.ca/lessons/c6-ssc-his-4-chapter-4-what-books-and-burials-tell-us/,
6,History,"Chapter 5 – Kingdoms, Kings and an Early Republic",http://cms.schooltimes.ca/lessons/c6-ssc-his-5-kingdoms-chapter-5-kingdoms-kings-and-an-early-republic/,
6,History,Chapter 6 – New Questions and Ideas,http://cms.schooltimes.ca/lessons/c6-ssc-his-6-chapter-6-new-questions-and-ideas/,
6,History,"Chapter 7 – Ashoka, The Emperor Who Gave Up War",https://cms.schooltimes.ca/lessons/c6-ssc-his-7-chapter-7-ashoka-the-emperor-who-gave-up-war/,
6,History,"Chapter 8 – Vital Villages, Thriving Towns",https://cms.schooltimes.ca/lessons/c6-ssc-his-8-chapter-8-vital-villages-thriving-towns/,
6,History,"Chapter 9 – Traders, Kings and Pilgrims",http://cms.schooltimes.ca/lessons/c6-ssc-his-9-chapter-9-traders-kings-and-pilgrims/,
6,History,Chapter 10 – New Empires and Kingdoms,http://cms.schooltimes.ca/lessons/c6-ssc-his-10-chapter-10-new-empires-and-kingdoms/,
6,History,"Chapter 11 – Buildings, Paintings and Books",https://cms.schooltimes.ca/lessons/c6-ssc-his-11-chapter-11-building-paintings-and-books/,
6,Geography,Chapter 1 – The Earth in the Solar System,https://cms.schooltimes.ca/lessons/c6-ssc-geo-1-the-earth-in-the-solar-system/,
6,Geography,Chapter 2 – Globe Latitudes and Longitudes,https://cms.schooltimes.ca/lessons/c6-ssc-geo-2-globe-longitude-and-latitudes/,
6,Geography,Chapter 3 – Motions of the Earth,http://cms.schooltimes.ca/lessons/c6-ssc-geo-3-chapter-3-motion-of-the-earth/,
6,Geography,Chapter 4 – Maps,http://cms.schooltimes.ca/lessons/c6-ssc-geo-4-chapter-4-maps/,
6,Geography,Chapter 5 – Major Domains of the Earth,http://cms.schooltimes.ca/lessons/c6-ssc-geo-5-chapter-5-major-domains-of-earth/,
6,Geography,Chapter 6 – Major Landforms of the Earth,https://cms.schooltimes.ca/lessons/c6-ssc-geo-6-chapter-6-major-landforms-of-the-earth/,
6,Geography,Chapter 7 – Our Country – India,http://cms.schooltimes.ca/lessons/c6-ssc-geo-7-chapter-7-our-country-india/,
6,Geography,Chapter 8 – India Climate Vegetation and Wildlife,http://cms.schooltimes.ca/lessons/c6-ssc-geo-8-chapter-8-india-climate-vegetation-and-wildlife/,
6,Civics, Chapter 1 – Understanding Diversity,https://cms.schooltimes.ca/lessons/c6-ssc-civ-1-understanding-diversity/,
6,Civics, Chapter 2 – Diversity and Discrimination,https://cms.schooltimes.ca/lessons/c6-ssc-civ-2-diversity-and-discrimination/,
6,Civics, Chapter 3 – What is Government,http://cms.schooltimes.ca/lessons/c6-ssc-civ-3-chapter-3-what-is-government/,
6,Civics, Chapter 4 – Key Elements of a Democratic Government,http://cms.schooltimes.ca/lessons/c6-ssc-civ-4-chapter-4-key-elements-of-democratic-government/,
6,Civics, Chapter 5 – Panchayati raj,http://cms.schooltimes.ca/lessons/c6-ssc-civ-5-chapter-5-panchayati-raj/,
6,Civics, Chapter 6 – Rural Administration,http://cms.schooltimes.ca/lessons/c6-ssc-civ-6-chapter-6-rural-administration/,
